RouteID,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105717328,614,1,0,31,0,3.4,1,0,1
105717346,614,1,0,27,0,2.7,1,0,1
105717364,614,1,0,36,0,3.8,3,0,1
105717484,294,1,0,43,0,3.8,1,1,2
105717763,617,1,0,36,0,2.7,1,2,1
105717766,614,1,0,36,0,3.5,1,2,1
105717892,627,0,0,49,0,3.9,1,0,1
105717895,627,0,0,40,0,3.7,1,0,1
105717922,294,1,0,36,0,3.2,1,0,1
105718036,617,1,0,40,0,3.7,1,0,1
105718084,619,1,0,40,0,3.3,1,2,1
105718117,627,0,0,54,0,3.9,1,2,1
105718192,293,1,0,36,0,3.3,1,2,1
105718198,626,0,0,34,0,2.1,1,2,1
105718201,625,0,0,31,0,2.4,1,0,1
105718207,625,0,0,52,0,3.4,1,1,2
105718384,619,1,0,46,0,3.9,1,2,1
105718435,615,1,0,31,0,3.6,1,0,1
105718441,615,1,0,29,0,2.6,1,0,1
105718522,619,1,0,40,0,3.3,1,0,1
105718642,615,1,0,51,0,3.8,1,2,1
105732374,633,0,0,47,0,3.6,1,0,1
105732443,135,1,0,45,0,3.8,5,2,1
105732560,633,0,0,32,0,2.2,1,0,1
105732563,633,0,0,34,0,2.0,1,0,1
105732629,631,0,0,49,0,2.6,1,0,1
105732941,631,1,0,32,0,3.3,1,0,1
105740945,663,0,0,26,0,2.8,1,0,1
105740978,496,0,0,29,1,2.6,1,0,1
105740981,496,1,0,26,0,3.7,1,0,1
105740984,497,1,0,29,0,3.1,1,0,1
105741116,620,0,0,47,0,3.3,1,0,1
105741602,664,0,0,34,0,3.7,1,0,1
105741848,497,0,0,26,0,2.8,1,0,1
105741866,497,0,0,37,0,3.6,1,0,1
105741869,497,0,0,32,0,2.8,1,0,1
105748096,422,1,0,39,0,2.6,1,0,1
105748154,47,0,0,29,0,1.2,1,0,1
105748160,46,0,0,24,0,1.2,1,0,1
105748235,515,0,0,44,0,2.5,1,0,1
105748298,309,0,0,48,0,2.9,3,0,1
105748361,159,1,0,23,0,3.2,4,0,1
105748397,61,0,0,42,0,3.1,1,0,1
105748409,407,0,0,37,0,2.4,1,0,1
105748415,214,0,0,52,0,3.6,1,2,1
105748421,244,0,0,57,0,3.6,1,1,3
105748433,246,0,0,56,0,3.7,1,0,1
105748448,406,0,0,28,0,2.7,1,0,1
105748451,241,0,0,54,0,3.6,1,1,2
105748478,405,0,0,52,0,2.8,1,1,3
105748496,429,1,1,32,0,3.8,8,1,2
105748586,346,0,0,42,0,2.2,1,1,2
105748591,523,0,0,49,0,2.7,1,0,1
105748594,289,0,0,47,0,3.0,1,1,3
105748609,48,0,0,29,0,2.3,1,0,1
105748627,155,1,0,30,2,3.6,3,0,1
105748690,669,0,0,44,0,3.5,1,0,1
105748693,483,1,0,29,0,3.4,4,0,1
105748702,669,0,0,37,0,3.3,1,0,1
105748771,194,1,0,44,0,3.8,4,1,2
105748816,519,1,0,30,0,3.9,2,2,1
105748936,349,1,0,23,0,2.9,2,0,1
105748975,392,0,0,47,0,3.1,1,2,1
105748990,209,0,0,45,0,3.7,1,0,1
105748993,209,0,0,39,0,2.9,1,0,1
105749002,520,0,0,49,0,2.2,1,1,2
105749005,481,0,0,52,0,3.0,1,1,3
105749011,308,0,0,54,0,3.0,1,1,4
105749029,349,1,0,32,0,3.5,1,1,2
105749116,527,0,0,41,0,2.9,1,0,1
105749119,670,0,0,47,0,3.5,1,0,1
105749122,527,0,0,35,0,3.4,1,0,1
105749158,329,0,0,62,0,3.8,1,2,1
105749167,212,0,0,44,0,3.0,1,0,1
105749170,351,0,0,53,0,2.5,1,1,2
105749182,365,0,0,39,0,2.4,1,1,2
105749239,352,0,0,54,0,3.1,1,2,1
105749293,545,1,0,30,0,2.7,1,0,1
105749401,395,0,0,28,0,1.9,1,0,1
105749446,309,0,0,36,0,3.2,3,0,1
105749689,184,1,0,27,0,3.0,1,0,1
105749692,555,0,0,54,0,2.4,1,2,1
105749755,523,0,0,44,0,2.1,1,0,1
105749758,381,0,0,49,0,2.8,1,2,1
105749761,381,0,0,48,0,2.5,1,0,1
105749767,381,0,0,29,0,1.9,1,0,1
105749782,277,0,0,42,0,2.5,2,0,1
105749797,311,0,0,57,0,3.1,1,2,2
105749800,330,1,0,29,0,3.1,1,0,1
105749860,113,0,0,52,0,2.9,2,2,1
105749899,347,1,0,30,0,2.3,1,0,1
105749920,521,0,0,34,0,2.5,1,0,1
105749923,396,0,0,34,0,2.4,1,0,1
105749926,521,0,0,47,0,3.4,1,0,1
105749929,447,0,0,30,0,2.7,1,0,1
105749977,219,1,0,52,0,3.5,1,1,2
105749980,670,0,0,44,0,2.5,1,0,1
105749983,396,0,0,47,0,3.6,1,0,1
105750016,343,0,0,37,0,2.5,1,0,1
105750028,455,0,0,53,0,3.8,1,1,3
105750037,345,0,0,53,0,3.6,1,1,4
105750046,480,0,0,52,0,3.0,1,1,2
105750049,290,0,0,48,0,3.5,1,0,1
105750055,290,0,0,39,0,2.7,1,0,1
105750058,344,0,0,45,0,3.6,1,0,1
105750079,297,0,0,39,0,2.8,1,0,1
105750085,174,1,1,34,0,3.6,4,2,1
105750118,243,0,0,45,0,3.1,1,2,2
105750121,362,0,0,32,0,0.9,1,2,1
105750124,241,0,0,31,0,1.7,1,0,1
105750208,420,0,0,49,0,2.9,1,1,2
105750418,155,1,0,37,0,2.8,1,0,1
105750487,410,0,0,44,0,3.6,1,1,2
105751009,200,1,0,25,2,1.9,1,0,1
105751033,172,1,0,29,0,3.0,3,0,1
105751045,523,0,0,31,0,2.4,1,0,1
105751315,665,1,0,32,0,3.4,3,0,1
105751492,398,0,0,48,0,2.0,1,2,1
105751495,398,0,0,39,0,1.7,1,0,1
105751579,515,0,0,47,0,2.6,1,2,1
105751597,173,0,0,34,0,2.6,1,0,1
105751630,390,0,0,43,0,2.9,1,1,2
105751756,216,0,0,49,0,3.3,1,1,3
105751759,449,0,0,32,0,0.8,1,0,1
105751762,449,0,0,30,0,1.1,1,0,1
105751765,449,0,0,39,0,1.9,1,0,1
105751771,449,0,0,39,0,1.5,1,0,1
105751774,449,0,0,46,0,1.4,1,0,1
105751777,449,0,0,42,0,1.9,1,0,1
105752059,246,0,0,44,0,3.3,1,0,1
105752167,390,0,0,38,0,2.3,1,0,1
105752287,417,0,0,45,0,2.1,1,0,1
105752290,417,0,0,56,0,2.5,1,2,1
105752323,541,0,0,54,0,3.7,1,1,4
105752329,472,0,0,49,0,3.6,1,1,2
105752335,668,0,0,54,0,3.8,1,2,1
105752362,393,0,0,47,0,3.6,1,0,1
105752389,473,0,0,49,0,3.8,1,1,2
105752464,527,0,0,51,0,3.4,1,2,1
105752560,349,1,0,32,0,3.4,1,0,1
105752563,406,0,0,44,0,2.6,1,1,2
105752587,290,0,0,44,0,3.6,1,0,1
105752596,378,0,0,44,0,2.4,1,2,2
105752599,365,0,0,39,0,2.4,1,0,1
105752602,228,0,0,32,0,2.1,1,0,1
105752788,188,0,0,34,0,3.5,1,0,1
105752836,476,0,0,34,0,2.5,1,0,1
105752845,472,0,0,35,0,2.6,1,0,1
105752878,396,0,0,35,0,2.6,1,0,1
105752887,669,0,0,49,0,3.4,1,0,1
105752890,527,0,0,26,0,1.8,1,0,1
105752899,391,0,0,39,0,2.6,1,1,2
105752908,391,0,0,49,0,3.1,1,1,2
105752914,291,0,0,54,0,3.6,1,1,2
105752917,447,0,0,52,0,3.9,1,2,1
105752923,521,0,0,52,0,3.2,1,0,1
105753028,291,0,0,34,0,2.6,1,0,1
105753190,281,0,0,45,0,2.5,1,2,1
105753265,114,1,0,41,0,3.2,1,0,1
105753295,262,0,0,52,0,3.4,1,1,5
105753328,231,0,0,54,0,3.5,1,2,2
105753379,187,0,0,47,0,2.9,1,1,3
105753391,248,0,0,44,0,3.1,1,0,1
105753394,306,0,0,32,0,2.9,1,0,1
105753412,276,0,0,32,0,2.3,1,0,1
105753502,306,0,0,44,0,2.7,1,2,1
105753538,348,0,0,37,0,2.8,1,0,1
105753541,667,0,0,49,0,2.9,1,1,2
105753562,521,0,0,43,0,3.0,1,0,1
105753628,436,0,0,44,0,2.7,1,0,1
105753655,366,1,0,49,0,3.9,1,2,1
105753667,436,0,0,49,0,2.5,1,2,1
105753757,486,0,0,44,0,2.4,1,0,1
105753805,367,0,0,42,0,2.6,1,0,1
105753832,580,0,0,49,0,3.4,1,1,2
105753838,247,0,0,47,0,2.9,1,2,1
105753856,433,0,0,52,0,2.9,1,1,3
105753880,667,0,0,47,0,3.1,1,0,1
105753910,276,0,0,44,0,3.8,1,2,1
105753934,437,0,0,44,0,2.7,1,0,1
105753940,436,0,0,42,0,2.7,1,0,1
105753952,232,0,0,37,0,2.6,1,0,1
105753994,542,0,0,52,0,3.8,1,0,1
105754108,667,0,0,45,0,3.0,1,0,1
105754129,495,0,0,47,0,3.4,1,2,1
105754201,286,0,0,37,0,2.9,1,0,1
105754432,437,0,0,49,0,3.6,1,0,1
105754465,534,0,0,49,0,2.9,1,1,3
105754546,478,0,0,42,0,3.4,1,0,1
105754765,197,0,0,44,0,2.5,1,0,1
105754825,160,0,0,44,0,3.8,1,1,2
105754828,359,0,0,32,0,2.6,1,0,1
105754837,473,0,0,44,0,3.0,1,0,1
105754999,475,0,0,52,0,2.8,1,1,2
105755155,425,0,0,37,0,1.9,1,0,1
105755386,579,1,0,29,0,3.2,4,0,1
105755533,289,0,0,47,0,2.0,1,1,2
105755851,189,0,0,32,0,2.9,1,0,1
105755866,426,0,0,44,0,2.6,1,0,1
105755872,333,0,0,32,0,3.5,1,0,1
105755875,356,0,0,26,0,1.8,1,0,1
105755881,151,0,0,44,0,2.9,1,0,1
105756094,329,0,0,47,0,2.2,1,2,1
105756298,542,1,0,54,0,3.6,1,2,1
105756496,367,0,0,54,0,3.7,1,2,1
105756784,555,1,0,29,0,2.7,1,0,1
105756790,555,0,0,52,0,3.5,1,1,2
105756826,367,0,0,30,0,3.4,1,0,1
105756829,367,0,0,34,0,2.5,1,0,1
105756946,447,0,0,32,0,2.0,1,0,1
105757066,424,0,0,52,0,2.7,1,2,1
105757219,181,0,0,29,0,2.1,1,0,1
105757240,187,0,0,28,0,2.7,1,0,1
105757243,187,0,0,30,0,2.3,1,0,1
105757249,425,0,0,34,0,2.3,1,0,1
105757414,388,1,0,32,0,3.0,2,0,1
105757423,389,1,0,27,0,2.6,1,0,1
105757618,478,0,0,42,0,3.5,1,0,1
105757627,366,0,0,53,0,3.1,1,2,1
105757681,248,0,0,52,0,2.3,1,2,1
105757699,182,0,0,37,0,2.6,1,0,1
105757708,264,0,0,54,0,2.5,1,2,1
105758080,277,0,0,52,0,2.8,1,0,1
105758107,204,0,0,42,0,3.1,1,0,1
105758257,495,0,0,43,0,2.7,1,0,1
105758584,389,1,0,34,0,3.3,1,1,2
105758605,366,0,0,42,0,2.6,1,2,1
105758647,357,0,0,55,0,3.7,1,2,1
105758676,666,0,0,33,0,2.7,1,0,1
105758910,348,0,0,42,0,3.5,1,0,1
105758982,472,0,0,32,0,1.8,1,0,1
105759021,667,0,0,38,0,2.6,1,2,1
105759081,287,0,0,42,0,2.6,1,0,1
105759084,666,0,0,26,0,2.4,1,0,1
105759102,666,0,0,30,0,2.1,1,0,1
105759105,666,0,0,27,0,2.3,1,0,1
105759111,478,0,0,36,0,2.3,1,0,1
105759165,287,0,0,24,0,1.8,1,1,2
105759516,393,0,0,47,0,3.3,1,1,2
105759594,188,0,0,32,0,3.1,1,0,1
105759750,472,0,0,43,0,2.4,1,0,1
105759783,381,0,0,44,0,2.8,1,0,1
105759819,276,0,0,42,0,3.3,1,1,2
105760332,404,0,0,32,0,2.3,1,0,1
105760695,421,0,0,44,0,3.4,2,0,1
105760878,449,1,0,34,0,2.5,1,0,1
105761046,669,0,0,39,0,3.1,1,0,1
105761067,527,1,0,42,0,2.4,1,0,1
105761217,514,0,0,29,0,3.5,1,0,1
105761265,375,0,0,43,0,2.2,1,0,1
105761298,495,0,0,52,0,2.7,1,1,2
105761367,495,0,0,26,0,1.7,1,0,1
105761394,188,0,0,44,0,2.7,1,0,1
105761463,459,0,0,57,0,3.7,1,1,3
105761523,478,0,0,52,0,3.5,1,0,1
105761529,395,1,0,26,0,2.5,1,0,1
105761547,479,0,0,54,0,3.9,1,1,2
105761877,667,0,0,29,0,2.7,1,0,1
105761883,212,0,0,43,0,2.5,1,0,1
105761895,670,0,0,43,0,2.5,1,0,1
105762201,233,0,0,44,0,2.4,1,0,1
105762333,397,0,0,52,0,3.4,1,1,2
105762393,396,0,0,44,0,2.2,1,0,1
105762699,173,0,0,34,0,2.6,1,0,1
105762795,359,0,0,32,0,2.7,1,0,1
105762807,425,0,0,27,0,2.2,1,0,1
105762981,405,0,0,29,0,1.5,1,0,1
105762984,404,0,0,36,0,2.0,1,0,1
105763029,373,0,0,42,0,2.6,1,1,2
105763089,345,0,0,32,0,1.8,1,0,1
105763161,276,0,0,30,0,2.1,1,0,1
105763197,258,0,0,36,0,2.5,1,0,1
105763212,666,0,0,47,0,3.6,1,0,1
105763707,317,1,0,32,0,3.0,1,2,1
105763788,179,1,0,30,0,2.5,1,0,1
105763794,179,0,0,26,0,3.6,1,0,1
105763815,515,0,0,44,0,2.6,1,0,1
105763911,432,1,1,27,0,3.6,8,0,1
105763950,374,0,0,47,0,3.5,1,2,1
105764079,515,0,0,42,0,2.8,1,0,1
105764322,554,1,1,26,0,2.6,6,0,1
105764409,404,0,0,36,0,1.5,1,0,1
105764451,413,0,0,45,0,2.5,1,2,1
105765165,330,0,0,43,0,2.2,1,2,1
105787215,625,0,0,29,0,2.0,1,0,1
105789060,403,0,0,26,0,3.2,1,0,1
105789064,402,0,0,32,0,2.9,1,0,1
105789153,603,0,0,49,0,2.8,1,1,2
105789169,403,0,0,23,0,2.3,1,0,1
105789298,591,0,0,44,0,3.6,1,0,1
105789316,600,0,0,44,0,3.0,1,1,2
105789342,602,0,0,34,0,2.8,1,0,1
105789348,589,0,0,44,0,3.8,1,1,2
105789513,360,1,0,30,0,2.7,1,1,2
105789753,587,0,0,52,0,3.3,1,2,2
105789934,608,0,0,47,0,3.3,1,0,1
105790283,609,1,0,29,0,3.6,3,0,1
105790290,598,1,0,33,0,3.7,4,0,1
105790444,592,0,0,39,0,3.5,1,0,1
105790613,595,1,0,32,0,3.0,1,0,1
105790859,595,0,0,54,0,3.9,1,2,3
105791086,645,1,0,29,0,3.7,1,1,2
105792753,625,0,0,32,0,2.6,1,0,1
105793956,585,0,0,47,0,3.1,1,1,3
105796557,403,0,0,34,0,2.6,1,0,1
105798861,616,1,0,30,0,2.7,2,0,1
105798882,616,1,0,35,0,2.9,1,0,1
105798885,616,1,0,46,0,3.0,1,1,2
105799303,664,0,0,47,0,3.8,1,2,1
105799344,664,1,0,33,1,2.6,1,0,1
105799349,664,0,0,44,0,3.4,1,0,1
105800402,586,0,0,40,0,3.0,1,0,1
105800412,402,0,0,37,0,3.5,2,0,1
105801735,592,0,0,39,0,3.5,1,0,1
105802924,165,1,1,32,0,3.6,6,2,1
105803148,392,0,0,32,0,2.3,1,0,1
105803440,605,0,0,34,0,3.5,1,0,1
105803446,605,0,0,32,0,2.7,1,0,1
105803451,605,0,0,42,0,3.5,1,0,1
105803545,603,1,0,42,0,3.8,1,0,1
105803553,601,0,0,47,0,2.9,1,2,1
105803655,164,1,1,29,0,3.5,6,0,1
105803921,585,0,0,29,0,3.1,1,0,1
105803971,591,0,0,34,0,2.9,1,0,1
105804292,595,0,0,49,0,3.5,1,2,1
105804852,162,1,1,26,0,3.8,5,0,1
105806895,597,0,0,34,0,2.9,1,0,1
105807027,293,1,0,36,0,2.6,1,0,1
105809702,345,0,0,35,0,3.1,1,0,1
105812408,670,0,0,42,0,2.5,1,0,1
105812559,601,0,0,34,0,3.2,1,0,1
105812642,604,0,0,42,0,3.3,1,0,1
105812654,604,0,0,32,0,2.4,1,0,1
105813238,632,0,0,42,0,3.4,1,1,2
105813275,631,0,0,26,0,2.6,1,0,1
105813493,518,0,0,44,0,3.4,1,0,1
105814533,603,0,0,42,0,3.0,1,0,1
105816995,636,1,0,33,0,3.8,5,2,1
105817270,593,0,0,42,0,2.4,1,0,1
105818791,586,0,0,35,0,3.0,1,0,1
105818849,518,0,0,54,0,2.9,1,1,2
105819372,212,0,0,30,0,2.2,1,0,1
105819734,633,0,0,27,0,2.1,1,0,1
105820098,633,0,0,44,0,3.4,1,1,2
105820346,603,1,0,32,0,2.8,1,0,1
105820350,600,0,0,32,0,2.3,1,0,1
105820721,603,1,0,26,0,3.1,1,0,1
105820726,593,0,0,29,0,3.0,1,0,1
105822639,216,0,0,34,0,2.1,1,0,1
105827047,253,0,0,54,0,3.7,1,2,1
105827059,319,0,0,57,0,3.7,1,2,1
105827433,258,0,0,35,0,2.5,1,0,1
105827564,514,0,0,37,0,2.7,1,0,1
105827570,514,0,0,50,0,3.5,1,0,1
105827628,319,0,0,42,0,2.9,1,0,1
105827646,319,0,0,32,0,3.0,1,0,1
105828453,319,0,0,39,0,2.6,1,0,1
105829983,258,0,0,44,0,3.0,1,0,1
105831617,428,0,0,51,0,3.4,1,0,1
105832283,612,0,0,54,0,3.9,1,2,1
105841216,251,0,0,39,0,3.5,1,0,1
105841220,251,0,0,47,0,3.8,1,0,1
105841247,493,0,0,37,0,2.7,1,0,1
105841251,489,0,0,44,0,3.7,1,1,2
105841257,493,0,0,42,0,2.7,1,1,2
105841382,167,0,0,37,0,3.4,1,1,2
105841390,171,0,0,42,0,3.4,1,0,1
105841688,620,0,0,26,0,2.5,1,0,1
105841699,620,0,0,29,0,3.0,1,0,1
105842717,163,0,1,39,0,3.0,1,2,1
105842817,648,1,0,26,0,3.2,1,0,1
105842825,654,1,0,29,0,3.6,1,0,1
105843581,611,0,0,34,0,3.6,1,0,1
105843696,611,0,0,42,0,3.7,1,0,1
105845816,654,1,0,32,0,3.6,1,1,2
105847524,253,0,0,36,0,2.6,3,0,1
105849567,513,1,0,23,0,2.5,1,0,1
105851509,167,0,0,34,0,2.2,1,0,1
105851631,170,0,0,54,0,3.4,1,0,1
105851716,321,0,0,34,0,3.1,1,0,1
105851974,321,0,0,33,0,2.6,1,0,1
105852183,640,1,1,36,0,3.5,12,0,1
105853353,252,0,0,42,0,3.3,1,0,1
105853365,325,0,0,42,0,3.0,1,0,1
105853386,252,0,0,32,0,2.6,1,0,1
105854239,316,1,0,32,0,2.7,1,0,1
105855622,424,0,0,34,0,2.8,1,0,1
105856656,326,0,0,44,0,3.3,1,0,1
105856679,238,0,0,52,0,3.5,1,0,1
105856684,238,0,0,54,0,3.8,1,0,1
105856757,234,0,0,41,0,3.7,1,0,1
105856762,252,0,0,37,0,2.8,1,0,1
105857638,170,0,0,42,0,2.7,1,0,1
105857742,502,1,0,26,0,3.2,1,0,1
105857749,654,1,0,29,1,2.6,1,0,1
105860676,635,1,1,42,0,4.0,12,2,1
105862055,494,0,0,52,0,3.0,1,1,2
105862062,493,0,0,54,0,3.2,1,0,1
105862092,323,0,0,47,0,3.1,1,1,2
105862459,287,0,0,43,0,3.0,1,0,1
105863234,320,0,0,52,0,3.5,1,0,1
105869766,250,0,0,26,0,3.1,1,0,1
105878061,341,0,0,32,0,2.7,1,0,1
105880407,589,0,0,54,0,3.1,1,1,4
105888371,444,1,0,26,0,3.4,1,0,1
105888734,192,1,0,46,0,3.5,1,2,1
105889237,444,1,0,29,0,2.6,1,0,1
105889536,438,0,0,29,0,3.2,1,0,1
105889540,438,0,0,39,0,3.5,1,0,1
105889544,438,0,0,44,0,3.1,1,1,2
105892533,446,0,0,29,0,2.6,1,0,1
105893726,192,1,0,29,0,2.9,1,0,1
105893872,445,0,0,54,0,3.2,1,1,2
105900338,469,1,0,26,0,2.9,1,0,1
105900347,469,1,0,20,1,2.2,1,0,1
105903232,631,0,0,26,0,2.7,1,0,1
105910504,154,1,0,29,0,2.0,1,0,1
105910510,154,1,0,26,0,2.4,1,0,1
105910806,648,1,0,32,0,3.4,1,0,1
105910942,648,1,0,26,0,2.8,1,0,1
105911529,341,0,0,36,0,3.1,1,0,1
105911558,341,0,0,34,0,2.5,1,2,1
105912905,638,0,0,47,0,3.7,1,1,2
105912909,639,0,0,52,0,3.4,1,2,1
105913834,633,0,0,47,0,3.2,1,0,1
105918091,567,0,0,42,0,2.4,1,0,1
105918466,559,0,0,52,0,3.6,1,0,1
105926879,444,1,0,34,0,3.3,1,0,1
105929386,348,0,0,44,0,3.6,1,0,1
105932154,292,0,0,54,0,3.5,1,1,2
105941644,650,1,0,32,0,3.8,1,2,1
105944377,563,0,0,30,0,3.5,1,0,1
105944381,563,0,0,34,0,2.8,1,0,1
105944388,557,0,0,59,0,3.9,1,2,1
105944445,632,0,0,41,0,2.8,1,2,1
105944650,633,0,0,32,0,2.3,1,0,1
105950090,647,0,0,42,0,3.6,1,0,1
105954921,654,1,0,29,0,2.9,1,0,1
105956228,236,0,0,49,0,3.6,1,0,1
105956328,238,0,0,54,0,3.6,1,2,1
105957709,163,0,1,32,0,2.5,1,0,1
105958263,509,1,0,23,0,3.1,1,0,1
105959460,501,1,0,23,0,3.6,1,0,1
105962497,648,1,0,20,0,2.4,1,0,1
105963366,502,1,0,26,0,3.4,1,0,1
105963848,557,0,0,32,0,3.5,1,0,1
105964688,572,0,0,44,0,3.8,1,0,1
105969527,428,0,0,37,0,3.0,1,0,1
105972016,424,0,0,29,0,2.5,1,0,1
105972021,424,0,0,34,0,3.0,1,0,1
105972025,424,0,0,42,0,2.7,1,0,1
105975456,186,0,0,30,0,2.7,1,0,1
105975473,198,1,0,29,0,1.0,1,0,1
105982858,367,0,0,27,0,2.7,1,0,1
105988227,575,0,0,30,0,3.5,1,0,1
105988232,575,0,0,42,0,2.8,1,0,1
105988238,575,0,0,57,0,3.8,1,2,1
105989372,558,0,0,62,0,3.9,1,2,1
105994333,621,0,0,52,0,3.4,1,2,2
105994719,424,0,0,39,0,2.8,1,0,1
105994971,163,0,1,42,0,2.4,1,2,1
105997439,436,0,0,47,0,3.3,1,0,1
106001020,620,0,0,52,0,3.8,1,2,1
106002342,563,0,0,47,0,3.6,1,0,1
106002969,238,0,0,34,0,2.9,1,0,1
106007327,486,0,0,49,0,2.2,1,2,1
106007361,425,1,0,20,0,2.6,5,0,1
106010509,369,0,0,47,0,3.2,1,2,1
106011580,321,0,0,44,0,2.3,1,0,1
106011585,171,0,0,34,0,2.4,1,0,1
106011590,167,0,0,42,0,2.8,1,0,1
106011593,167,0,0,29,0,1.7,1,0,1
106015558,188,0,0,46,0,3.7,1,0,1
106018126,591,0,0,54,0,3.4,1,2,1
106032117,460,0,0,34,0,3.0,1,0,1
106032123,460,0,0,44,0,3.6,1,2,1
106032904,592,0,0,26,0,2.0,1,0,1
106033329,610,0,0,33,0,2.6,1,0,1
106035142,294,1,0,41,0,2.7,1,2,1
106059648,460,0,0,42,0,3.7,1,0,1
106059659,460,0,0,39,0,2.5,1,0,1
106069528,610,0,0,56,0,3.7,1,2,1
106070704,558,0,0,53,0,3.0,1,2,1
106070861,591,0,0,62,0,4.0,1,2,1
106072248,504,1,0,37,0,3.1,7,0,1
106081850,170,0,0,42,0,2.5,1,0,1
106081874,250,0,0,34,0,3.5,1,0,1
106081917,569,0,0,42,0,3.7,1,0,1
106081922,442,0,0,38,0,3.7,1,0,1
106081931,569,0,0,39,0,3.6,1,0,1
106087318,149,0,0,32,0,3.0,1,0,1
106099070,443,0,0,32,0,2.2,1,0,1
106119076,352,0,0,30,0,2.1,1,0,1
106121243,611,0,0,52,0,3.8,1,0,1
106121898,572,0,0,42,0,3.6,1,0,1
106125070,440,0,0,34,0,3.7,1,0,1
106126167,185,1,0,36,0,3.6,1,0,1
106126227,147,1,0,54,0,3.6,1,1,2
106127916,567,0,0,44,0,3.3,1,0,1
106127925,567,0,0,42,0,3.5,1,0,1
106132213,438,0,0,52,0,3.9,1,2,1
106135291,475,0,0,32,0,1.5,1,0,1
106143915,583,1,0,24,0,2.0,1,0,1
106153682,442,0,0,52,0,3.1,1,2,1
106159394,234,0,0,37,0,2.7,1,0,1
106160862,189,0,0,32,0,2.8,1,0,1
106161870,201,0,0,42,0,3.1,1,0,1
106164016,473,0,0,32,0,2.3,1,0,1
106170444,424,0,0,39,0,2.5,1,2,1
106170472,343,0,0,32,0,2.3,1,0,1
106181792,625,0,0,46,0,2.4,1,2,1
